令和６（２０２４）年　社会医療診療行為別統計　令和６年８月審査分,,,,,,,,,,
診療行為の状況　医科診療　第１８表　医科診療　回数・点数，診療行為（細分類）、入院－入院外別,,,,,,,,,,
注：１）表側欄内の数字は固定点数である。,,,,,,,,,,
注：２）＊がついている診療行為の回数は再掲である。,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,
注：４）総数には、入院時食事・生活療養を含まない。,,,,,,,,,,
注：５）「結核病棟特別入院基本料」には、特定機能病院の特別入院基本料を含む。,,,,,,,,,,
注：６）「薬剤料（診療識別80）」は、リハビリテーション及び精神科専門療法の薬剤料である。,,,,,,,,,,
注：７）「特定保険医療材料料（診療識別80）　酸素料」は、精神科専門療法の酸素料である。,,,,,,,,,,
注：８）「特定保険医療材料料（診療識別80）　酸素料以外」は、精神科専門療法及び放射線治療の特定保険医療材料料である。,,,,,,,,,,
注：９）「造血幹細胞移植　提供者の療養上の費用」には、骨髄移植及び末梢血管細胞移植における提供者の療養上の費用を含む。,,,,,,,,,,
,,,,,総数,総数,入院,入院,入院外,入院外
,,,,,回数,点数,回数,点数,回数,点数
診療行為１,診療行為２,診療行為３,固定点数,再掲,回,点,回,点,回,点
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,アルミニウム（Ａｌ）,109 ,,1189 ,129601 ,313 ,34117 ,876 ,95484 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,シスタチンＣ,112 ,,72337 ,8101744 ,2851 ,319312 ,69486 ,7782432 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,25－ヒドロキシビタミン,117 ,,60544 ,7083648 ,3583 ,419211 ,56961 ,6664437 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ペントシジン,118 ,,1001 ,118118 ,31 ,3658 ,970 ,114460 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,イヌリン,120 ,,60 ,7200 ,2 ,240 ,58 ,6960 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,リポ蛋白分画（ＨＰＬＣ法）,129 ,,1735 ,223815 ,6 ,774 ,1729 ,223041 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,肺サーファクタント蛋白－Ａ（ＳＰ－Ａ）,130 ,,1093 ,142090 ,47 ,6110 ,1046 ,135980 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ガラクトース,130 ,,215 ,27950 ,12 ,1560 ,203 ,26390 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,血液ガス分析,131 ,,339504 ,44475024 ,77213 ,10114903 ,262291 ,34360121 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,Ⅳ型コラーゲン,131 ,,2333 ,305623 ,82 ,10742 ,2251 ,294881 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ミオグロビン定性,131 ,,3887 ,509197 ,338 ,44278 ,3549 ,464919 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ミオグロビン定量,131 ,,6716 ,879796 ,383 ,50173 ,6333 ,829623 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,心臓由来脂肪酸結合蛋白（Ｈ－ＦＡＢＰ）定性,131 ,,3390 ,444090 ,630 ,82530 ,2760 ,361560 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,心臓由来脂肪酸結合蛋白（Ｈ－ＦＡＢＰ）定量,131 ,,749 ,98119 ,92 ,12052 ,657 ,86067 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,亜鉛（Ｚｎ）,132 ,,199953 ,26393796 ,12867 ,1698444 ,187086 ,24695352 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,アルブミン非結合型ビリルビン,135 ,,568 ,76680 ,353 ,47655 ,215 ,29025 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,肺サーファクタント蛋白－Ｄ（ＳＰ－Ｄ）,136 ,,78173 ,10631528 ,3564 ,484704 ,74609 ,10146824 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,プロコラーゲン-Ⅲ-ペプチド（Ｐ－Ⅲ－Ｐ）,136 ,,401 ,54536 ,10 ,1360 ,391 ,53176 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,アンギオテンシンⅠ転換酵素（ＡＣＥ）,136 ,,20790 ,2827440 ,450 ,61200 ,20340 ,2766240 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ビタミンＢ１２,136 ,,141161 ,19197896 ,7921 ,1077256 ,133240 ,18120640 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,セレン,144 ,,2180 ,313920 ,875 ,126000 ,1305 ,187920 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,葉酸,146 ,,106539 ,15554694 ,7530 ,1099380 ,99009 ,14455314 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,Ⅳ型コラーゲン・７Ｓ,148 ,,7274 ,1076552 ,92 ,13616 ,7182 ,1062936 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ピルビン酸キナーゼ（ＰＫ）,150 ,,13 ,1950 ,1 ,150 ,12 ,1800 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,レムナント様リポ蛋白コレステロール（ＲＬＰ-Ｃ）,174 ,,24758 ,4307892 ,185 ,32190 ,24573 ,4275702 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,腟分泌液中インスリン様成長因子結合蛋白１型（ＩＧＦＢＰ－１）定性,175 ,,744 ,130200 ,126 ,22050 ,618 ,108150 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ヒアルロン酸,179 ,,8980 ,1607420 ,182 ,32578 ,8798 ,1574842 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ＡＬＰアイソザイム（ＰＡＧ電気泳動法）,180 ,,175 ,31500 ,13 ,2340 ,162 ,29160 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,アセトアミノフェン,180 ,,47 ,8460 ,2 ,360 ,45 ,8100 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,心室筋ミオシン軽鎖Ｉ,184 ,,293 ,53912 ,15 ,2760 ,278 ,51152 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,トリプシン,189 ,,16738 ,3163482 ,241 ,45549 ,16497 ,3117933 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,Ｍａｃ－２結合蛋白糖鎖修飾異性体,194 ,,35096 ,6808624 ,298 ,57812 ,34798 ,6750812 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,マロンジアルデヒド修飾ＬＤＬ（ＭＤＡ－ＬＤＬ）,194 ,,548 ,106312 ,5 ,970 ,543 ,105342 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,オートタキシン,194 ,,2016 ,391104 ,12 ,2328 ,2004 ,388776 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,サイトケラチン１８フラグメント（ＣＫ－１８Ｆ）,194 ,,242 ,46948 ,3 ,582 ,239 ,46366 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ＥＬＦスコア,194 ,,648 ,125712 ,1 ,194 ,647 ,125518 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ホスフォリパーゼＡ２（ＰＬＡ２）,204 ,,4833 ,985932 ,75 ,15300 ,4758 ,970632 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,赤血球コプロポルフィリン,210 ,,38 ,7980 ,3 ,630 ,35 ,7350 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,リポ蛋白リパーゼ（ＬＰＬ）,219 ,,319 ,69861 ,7 ,1533 ,312 ,68328 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,肝細胞増殖因子（ＨＧＦ）,227 ,,72 ,16344 ,10 ,2270 ,62 ,14074 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ビタミンＢ２,235 ,,3111 ,731085 ,177 ,41595 ,2934 ,689490 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ビタミンＢ１,239 ,,49533 ,11838387 ,3778 ,902942 ,45755 ,10935445 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ロイシンリッチα２グリコプロテイン,268 ,,20973 ,5620764 ,90 ,24120 ,20883 ,5596644 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,赤血球プロトポルフィリン,272 ,,83 ,22576 ,3 ,816 ,80 ,21760 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,プロカルシトニン（ＰＣＴ）定量,276 ,,36109 ,9966084 ,11579 ,3195804 ,24530 ,6770280 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,プロカルシトニン（ＰＣＴ）半定量,276 ,,19339 ,5337564 ,7108 ,1961808 ,12231 ,3375756 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,ビタミンＣ,296 ,,988 ,292448 ,178 ,52688 ,810 ,239760 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,プレセプシン定量,301 ,,1604 ,482804 ,653 ,196553 ,951 ,286251 
検査計,（検体検査料）－（検体検査実施料）－生化学的検査（Ⅰ）小計－血液化学検査,インフリキシマブ定性,310 ,,16 ,4960 ,-,-,16 ,4960 
