"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1102","","A110201","","A110202","","A141501","","A141502","","A141601","","A141602","","A141701","","A141702","","A141801","","A141802","","A191003","","A191005","","A191007","","A5103","","A5104","","A7101","","I5101","","I510120","","I510150","","I5102","","I510201","","J230113","","J230133","","J230223",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A110201_日本人人口（男）【人】","注釈","A110202_日本人人口（女）【人】","注釈","A141501_40歳以上人口（男）【人】","注釈","A141502_40歳以上人口（女）【人】","注釈","A141601_60歳以上人口（男）【人】","注釈","A141602_60歳以上人口（女）【人】","注釈","A141701_70歳以上人口（男）【人】","注釈","A141702_70歳以上人口（女）【人】","注釈","A141801_80歳以上人口（男）【人】","注釈","A141802_80歳以上人口（女）【人】","注釈","A191003_将来推計人口（2030年）【人】","注釈","A191005_将来推計人口（2040年）【人】","注釈","A191007_将来推計人口（2050年）【人】","注釈","A5103_転入者数【人】","注釈","A5104_転出者数【人】","注釈","A7101_世帯数【世帯】","注釈","I5101_病院数【施設】","注釈","I510120_一般病院数【施設】","注釈","I510150_療養病床を有する病院数【施設】","注釈","I5102_一般診療所数【施設】","注釈","I510201_有床一般診療所数【施設】","注釈","J230113_養護老人ホーム在所者数（詳細票）【人】","注釈","J230133_軽費老人ホーム在所者数（詳細票）【人】","注釈","J230223_有料老人ホーム在所者数（詳細票）【人】","注釈"
"2020100000","2020年度","40137","福岡県 福岡市 早良区","","214,271","","100,194","","114,077","","57,535","","69,378","","27,743","","36,877","","15,472","","23,217","","5,160","","10,185","","***","","***","","***","","13,176","","12,122","","100,635","","13","","13","","5","","208","","23","","***","","***","","***",""
"2019100000","2019年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","115,642","","107,451","","***","","114","","101","","44","","1,586","","131","","***","","***","","***",""
"2019100000","2019年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20,554","","18,277","","***","","21","","18","","9","","209","","20","","***","","***","","***",""
"2019100000","2019年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","25,525","","23,801","","***","","18","","18","","6","","276","","17","","***","","***","","***",""
"2019100000","2019年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19,887","","17,690","","***","","15","","14","","3","","398","","23","","***","","***","","***",""
"2019100000","2019年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16,575","","15,341","","***","","18","","15","","6","","225","","17","","***","","***","","***",""
"2019100000","2019年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","11,562","","11,875","","***","","20","","15","","12","","163","","18","","***","","***","","***",""
"2019100000","2019年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8,266","","7,819","","***","","9","","8","","3","","105","","12","","***","","***","","***",""
"2019100000","2019年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13,273","","12,648","","***","","13","","13","","5","","210","","24","","***","","***","","***",""
"2018100000","2018年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","113,249","","107,111","","***","","114","","101","","45","","1,574","","138","","***","","***","","***",""
"2018100000","2018年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","18,902","","18,610","","***","","21","","18","","9","","209","","21","","***","","***","","***",""
"2018100000","2018年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","24,975","","23,422","","***","","17","","17","","6","","268","","17","","***","","***","","***",""
"2018100000","2018年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19,365","","17,702","","***","","16","","15","","4","","393","","24","","***","","***","","***",""
"2018100000","2018年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16,424","","15,243","","***","","18","","15","","6","","226","","18","","***","","***","","***",""
"2018100000","2018年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","12,179","","11,520","","***","","20","","15","","12","","164","","20","","***","","***","","***",""
